,Actions0,Actions1,Actions2,Actions3,Actions4,Actions5
548,1,2,2,2,2,2
549,1,2,2,2,2,2
550,1,2,2,2,2,2
551,1,2,2,2,2,2
552,1,2,2,2,2,2
553,1,2,2,2,2,2
554,1,2,2,2,2,2
555,1,2,2,2,2,2
556,1,2,2,2,2,2
557,1,2,2,2,2,2
558,1,2,2,2,2,2
559,1,2,2,2,2,2
560,1,2,2,2,2,2
561,1,2,2,2,2,2
562,1,2,2,2,2,2
563,1,2,2,2,2,2
564,1,2,2,2,2,2
565,1,2,2,2,2,2
566,1,2,2,2,2,2
567,1,2,2,2,2,2
568,1,2,2,2,2,2
569,1,2,2,2,2,2
570,1,2,2,2,2,2
571,1,2,2,2,2,2
572,1,2,2,2,2,2
573,1,2,2,2,2,2
574,1,2,2,2,2,2
575,1,2,2,2,2,2
576,1,2,2,2,2,2
577,1,2,2,2,2,2
578,1,2,2,2,2,2
579,1,2,2,2,2,2
580,1,2,2,2,2,2
581,1,2,2,2,2,2
582,1,2,2,2,2,2
583,1,2,2,2,2,2
584,1,2,2,2,2,2
585,1,2,2,2,2,2
586,1,2,2,2,2,2
587,1,2,2,2,2,2
588,1,2,2,2,2,2
589,1,2,2,2,2,2
590,1,2,2,2,2,2
591,1,2,2,2,2,2
592,1,2,2,2,2,2
593,1,2,2,2,2,2
594,1,2,2,2,2,2
595,1,2,2,2,2,2
596,1,2,2,2,2,2
597,1,2,2,2,2,2
598,1,2,2,2,2,2
599,1,2,2,2,2,2
600,1,2,2,2,2,2
601,1,2,2,2,2,2
602,1,2,2,2,2,2
603,1,2,2,2,2,2
604,1,2,2,2,2,2
605,1,2,2,2,2,2
606,1,2,2,2,2,2
607,1,2,2,2,2,2
608,1,2,2,2,2,2
609,1,2,2,2,2,2
610,1,2,2,2,2,2
611,1,2,2,2,2,2
612,1,2,2,2,2,2
613,1,2,2,2,2,2
614,1,2,2,2,2,2
615,1,2,2,2,2,2
616,1,2,2,2,2,2
617,1,2,2,2,2,2
618,1,2,2,2,2,2
619,1,2,2,2,2,2
620,1,2,2,2,2,2
621,1,2,2,2,2,2
622,1,2,2,2,2,2
623,1,2,2,2,2,2
624,1,2,2,2,2,2
625,1,2,2,2,2,2
626,1,2,2,2,2,2
627,1,2,2,2,2,2
628,1,2,2,2,2,2
629,1,2,2,2,2,2
630,1,2,2,2,2,2
631,1,2,2,2,2,2
632,1,2,2,2,2,2
633,1,2,2,2,2,2
634,1,2,2,2,2,2
635,1,2,2,2,2,2
636,1,2,2,2,2,2
637,1,2,2,2,2,2
638,1,2,2,2,2,2
639,1,2,2,2,2,2
640,1,2,2,2,2,2
641,1,2,2,2,2,2
642,1,2,2,2,2,2
643,1,2,2,2,2,2
644,1,2,2,2,2,2
645,1,2,2,2,2,2
646,1,2,2,2,2,2
647,1,2,2,2,2,2
648,1,2,2,2,2,2
649,1,2,2,2,2,2
650,1,2,2,2,2,2
651,1,2,2,2,2,2
652,1,2,2,2,2,2
653,1,2,2,2,2,2
654,1,2,2,2,2,2
655,1,2,2,2,2,2
656,1,2,2,2,2,2
657,1,2,2,2,2,2
658,1,2,2,2,2,2
659,1,2,2,2,2,2
660,1,2,2,2,2,2
661,1,2,2,2,2,2
662,1,2,2,2,2,2
663,1,2,2,2,2,2
664,1,2,2,2,2,2
665,1,2,2,2,2,2
666,1,2,2,2,2,2
667,1,2,2,2,2,2
668,1,2,2,2,2,2
669,1,2,2,2,2,2
670,1,2,2,2,2,2
671,1,2,2,2,2,2
672,1,2,2,2,2,2
673,0,2,1,1,2,0
674,0,2,2,2,2,0
675,0,2,2,2,2,0
676,0,2,2,2,2,0
677,0,2,2,2,2,0
678,0,2,2,2,2,0
679,0,2,2,2,2,0
680,0,2,2,2,2,0
681,0,2,2,2,2,0
682,0,2,2,2,2,0
683,0,2,2,2,2,0
684,0,2,2,2,2,0
685,0,2,2,2,2,0
686,0,2,2,2,2,0
687,0,2,2,2,2,0
688,0,2,2,2,2,0
689,0,2,2,2,2,0
690,0,2,2,2,2,0
691,0,2,2,2,2,0
692,0,2,2,2,2,0
693,0,2,2,2,2,0
694,0,2,2,2,2,0
695,0,2,2,2,2,0
696,0,2,2,2,2,0
697,0,2,2,2,2,0
698,0,2,2,2,2,0
699,0,2,2,2,2,0
700,0,2,2,2,2,0
701,0,2,2,2,2,0
702,0,2,2,2,2,0
703,0,2,2,2,2,0
704,0,2,2,2,2,0
705,0,2,2,2,2,0
706,0,2,2,2,2,0
707,0,2,2,2,2,0
708,0,2,2,2,2,0
709,0,2,2,2,2,0
710,0,2,2,2,2,0
711,0,2,2,2,2,0
712,0,2,2,2,2,0
713,0,2,2,2,2,0
714,0,2,2,2,2,0
715,0,2,2,2,2,0
716,0,2,2,2,2,0
717,0,2,2,2,2,0
718,0,2,2,2,2,0
719,0,2,2,2,2,0
720,0,2,2,2,2,0
721,0,2,2,2,2,0
722,0,2,2,2,2,0
723,0,2,2,2,2,0
724,0,2,2,2,2,0
725,0,2,2,2,2,0
726,0,2,2,2,2,0
727,0,2,2,2,2,0
728,2,2,2,0,1,0
729,0,2,2,2,2,0
730,0,2,2,2,2,0
731,0,2,2,2,2,0
732,0,2,2,2,2,0
733,0,2,2,2,2,0
734,0,2,2,2,2,0
735,0,2,2,2,2,0
736,0,2,2,2,2,0
737,0,2,2,2,2,0
738,0,2,2,2,2,0
739,0,2,2,2,2,0
740,0,2,2,2,2,0
741,0,2,2,2,2,0
742,0,2,2,2,2,0
743,0,2,2,2,2,0
744,0,2,2,2,2,0
745,0,2,2,2,2,0
746,0,2,2,2,2,0
747,0,2,2,2,2,0
748,0,2,2,2,2,0
749,0,2,2,2,2,0
750,0,2,2,2,2,0
751,0,2,2,2,2,0
752,0,2,2,2,2,0
753,0,2,2,2,2,0
754,0,2,2,2,2,0
755,0,2,2,2,2,0
756,0,2,2,2,2,0
757,0,2,2,2,2,0
758,0,2,2,2,2,0
759,0,2,2,2,2,0
760,0,2,2,2,2,0
761,0,2,2,2,2,0
762,0,2,2,2,2,0
763,0,2,2,2,2,0
764,0,2,2,2,2,0
765,0,2,2,2,2,0
766,0,2,2,2,2,0
767,0,2,2,2,2,0
768,0,2,2,2,2,0
769,0,2,2,2,2,0
770,0,2,2,2,2,0
771,0,2,2,2,2,0
772,0,2,2,2,2,0
773,0,2,2,2,2,0
774,0,2,2,2,2,0
775,0,2,2,2,2,0
776,0,2,2,2,2,0
777,0,2,2,2,2,0
778,0,2,2,2,2,0
779,0,2,2,2,2,0
780,0,2,2,2,2,0
781,0,2,2,2,2,0
782,0,2,2,2,2,0
783,0,2,2,2,2,0
784,0,2,2,2,2,0
785,0,2,2,2,2,0
786,0,2,2,2,2,0
787,0,2,2,2,2,0
788,0,2,2,2,2,0
789,0,2,2,2,2,0
790,0,2,2,2,2,0
791,0,2,2,2,2,0
792,0,2,2,2,2,0
793,0,2,2,2,2,0
794,0,2,2,2,2,0
795,0,2,2,2,2,0
796,0,2,2,2,2,0
797,0,2,2,2,2,0
798,0,2,2,2,2,0
799,0,2,2,2,2,0
800,0,2,2,2,2,0
801,0,2,2,2,2,0
802,0,2,2,2,2,0
803,0,2,2,2,2,0
804,0,2,2,2,2,0
805,0,2,2,2,2,0
806,0,2,2,2,2,0
807,0,2,2,2,2,0
808,0,2,2,2,2,0
809,0,2,2,2,2,0
810,0,2,2,2,2,0
811,0,2,2,2,2,0
812,0,2,2,2,2,0
813,0,2,2,2,2,0
814,0,2,2,2,2,0
815,0,2,2,2,2,0
816,0,2,2,2,2,0
817,0,2,2,2,2,0
818,0,2,2,2,2,0
819,0,2,2,2,2,0
820,0,2,2,2,2,0
821,0,2,2,2,2,0
822,0,2,2,2,2,0
823,0,2,2,2,2,0
824,0,2,2,2,2,0
825,0,2,2,2,2,0
826,0,2,2,2,2,0
827,0,2,2,2,2,0
828,0,2,2,2,2,0
829,0,2,2,2,2,0
830,0,2,2,2,2,0
831,0,2,2,2,2,0
832,0,2,2,2,2,0
833,0,2,2,2,2,0
834,0,2,2,2,2,0
835,0,2,2,2,2,0
836,0,2,2,2,2,0
837,0,2,2,2,2,0
838,0,2,2,2,2,0
839,0,2,2,2,2,0
840,0,2,2,2,2,0
